ATCO-A
INVE-A
EQT
NDA-SE
VOLV-B
HEXA-B
ERIC-B
EVO
ASSA-B
SEB-A
SAND
HM-B
NIBE-B
EPI-A
LATO-B
VOLCAR-B
SWED-A
ESSITY-B
SHB-A
ALFA
TELIA
BALD-B
LUND-B
INDU-A
ATCO-A
INVE-A
EQT
NDA-SE
VOLV-B
HEXA-B
ERIC-B
EVO
ASSA-B
SEB-A
SAND
HM-B
NIBE-B
EPI-A
LATO-B
VOLCAR-B
SWED-A
ESSITY-B
SHB-A
ALFA
TELIA
ATCO-A
INVE-A
EQT
NDA-SE
VOLV-B
HEXA-B
ERIC-B
EVO
ASSA-B
SEB-A
SAND
HM-B
NIBE-B
EPI-A
LATO-B
VOLCAR-B
SWED-A
ESSITY-B
SHB-A
ALFA
TELIA
BALD-B
LUND-B
INDU-A
